Codice ISTAT;Descrizione ISTAT;Ateco description;Codice Completo;Codice Dotless;Codice REA (solo num)
A;AGRICOLTURA, SILVICOLTURA E PESCA;AGRICULTURE, FORESTRY AND FISHERIES;A;A;
01;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;AGRICULTURAL CULTIVATION AND PRODUCTION OF ANIMAL PRODUCTS, HUNTING AND RELATED SERVICES;A.01;A01;01
01.1;COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI;CULTIVATION OF NON-PERMANENT AGRICULTURAL CROPS;A.01.1;A011;011
01.11;Coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi;Cultivation of cereals (except rice), grain legumes and oilseeds;A.01.11;A0111;0111
01.11.1;Coltivazione di cereali (escluso il riso);Growing of cereals (except rice);A.01.11.1;A01111;01111
01.11.10;Coltivazione di cereali (escluso il riso);Growing of cereals (except rice);A.01.11.10;A011110;011110
01.11.2;Coltivazione di semi oleosi;Oilseed cultivation;A.01.11.2;A01112;01112
01.11.20;Coltivazione di semi oleosi;Oilseed cultivation;A.01.11.20;A011120;011120
01.11.3;Coltivazione di legumi da granella;Cultivation of grain legumes;A.01.11.3;A01113;01113
01.11.30;Coltivazione di legumi da granella;Cultivation of grain legumes;A.01.11.30;A011130;011130
01.11.4;Coltivazioni miste di cereali, legumi da granella e semi oleosi;Mixed crops of cereals, grain legumes and oilseeds;A.01.11.4;A01114;01114
01.11.40;Coltivazioni miste di cereali, legumi da granella e semi oleosi;Mixed crops of cereals, grain legumes and oilseeds;A.01.11.40;A011140;011140
01.12;Coltivazione di riso;Rice cultivation;A.01.12;A0112;0112
01.12.0;Coltivazione di riso;Rice cultivation;A.01.12.0;A01120;01120
01.12.00;Coltivazione di riso;Rice cultivation;A.01.12.00;A011200;011200
01.13;Coltivazione di ortaggi e meloni, radici e tuberi;Growing vegetables and melons, roots and tubers;A.01.13;A0113;0113
01.13.1;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate);Cultivation of vegetables (including melons) in the form of leaves, stems, fruit, roots, bulbs and tubers in the open air (excluding sugar beet and potatoes);A.01.13.1;A01131;01131
01.13.10;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate);Cultivation of vegetables (including melons) in the form of leaves, stems, fruit, roots, bulbs and tubers in the open air (excluding sugar beet and potatoes);A.01.13.10;A011310;011310
01.13.2;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate);Cultivation of vegetables (including melons) in the form of leaves, stems, fruit, roots, bulbs and tubers in protected crops (excluding sugar beet and potatoes);A.01.13.2;A01132;01132
01.13.21;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette fuori suolo (escluse barbabietola da zucchero e patate);Cultivation of vegetables (including melons) as leaves, stems, fruit, roots, bulbs and tubers in protected soilless crops (excluding sugar beet and potatoes);A.01.13.21;A011321;011321
01.13.29;Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette ad esclusione delle colture fuori suolo (escluse barbabietola da zucchero e patate);Cultivation of vegetables (including melons) in the form of leaves, stems, fruit, roots, bulbs and tubers in protected crops excluding soilless crops (excluding sugar beet and potatoes);A.01.13.29;A011329;011329
01.13.3;Coltivazione di barbabietola da zucchero;Sugar beet cultivation;A.01.13.3;A01133;01133
01.13.30;Coltivazione di barbabietola da zucchero;Sugar beet cultivation;A.01.13.30;A011330;011330
01.13.4;Coltivazione di patate;Potato cultivation;A.01.13.4;A01134;01134
01.13.40;Coltivazione di patate;Potato cultivation;A.01.13.40;A011340;011340
01.14;Coltivazione di canna da zucchero;Sugarcane cultivation;A.01.14;A0114;0114
01.14.0;Coltivazione di canna da zucchero;Sugarcane cultivation;A.01.14.0;A01140;01140
01.14.00;Coltivazione di canna da zucchero;Sugarcane cultivation;A.01.14.00;A011400;011400
01.15;Coltivazione di tabacco;Tobacco cultivation;A.01.15;A0115;0115
01.15.0;Coltivazione di tabacco;Tobacco cultivation;A.01.15.0;A01150;01150
01.15.00;Coltivazione di tabacco;Tobacco cultivation;A.01.15.00;A011500;011500
01.16;Coltivazione di piante tessili;Cultivation of textile plants;A.01.16;A0116;0116
01.16.0;Coltivazione di piante per la preparazione di fibre tessili;Cultivation of plants for the preparation of textile fibers;A.01.16.0;A01160;01160
01.16.00;Coltivazione di piante per la preparazione di fibre tessili;Cultivation of plants for the preparation of textile fibers;A.01.16.00;A011600;011600
01.19;Floricoltura e coltivazione di altre colture non permanenti;Floriculture and cultivation of other non-perennial crops;A.01.19;A0119;0119
01.19.1;Coltivazione di fiori in piena aria;Growing flowers in the open air;A.01.19.1;A01191;01191
01.19.10;Coltivazione di fiori in piena aria;Growing flowers in the open air;A.01.19.10;A011910;011910
01.19.2;Coltivazione di fiori in colture protette;Growing flowers in protected crops;A.01.19.2;A01192;01192
01.19.21;Coltivazione di fiori in colture protette fuori suolo;Growing flowers in protected soilless crops;A.01.19.21;A011921;011921
01.19.29;Coltivazione di fiori in colture protette ad esclusione delle colture fuori suolo;Growing flowers in protected crops excluding soilless crops;A.01.19.29;A011929;011929
01.19.9;Coltivazione di piante da foraggio e di altre colture non permanenti;Cultivation of forage plants and other non-permanent crops;A.01.19.9;A01199;01199
01.19.90;Coltivazione di piante da foraggio e di altre colture non permanenti;Cultivation of forage plants and other non-permanent crops;A.01.19.90;A011990;011990
01.2;COLTIVAZIONE DI COLTURE PERMANENTI;CULTIVATION OF PERMANENT CROPS;A.01.2;A012;012
01.21;Coltivazione di uva;Grape cultivation;A.01.21;A0121;0121
01.21.0;Coltivazione di uva;Grape cultivation;A.01.21.0;A01210;01210
01.21.00;Coltivazione di uva;Grape cultivation;A.01.21.00;A012100;012100
01.22;Coltivazione di frutta di origine tropicale e subtropicale;Cultivation of tropical and subtropical fruit;A.01.22;A0122;0122
01.22.0;Coltivazione di frutta di origine tropicale e subtropicale;Cultivation of tropical and subtropical fruit;A.01.22.0;A01220;01220
01.22.00;Coltivazione di frutta di origine tropicale e subtropicale;Cultivation of tropical and subtropical fruit;A.01.22.00;A012200;012200
01.23;Coltivazione di agrumi;Citrus fruit cultivation;A.01.23;A0123;0123
01.23.0;Coltivazione di agrumi;Citrus fruit cultivation;A.01.23.0;A01230;01230
01.23.00;Coltivazione di agrumi;Citrus fruit cultivation;A.01.23.00;A012300;012300
01.24;Coltivazione di pomacee e frutta a nocciolo;Cultivation of pome and stone fruit;A.01.24;A0124;0124
01.24.0;Coltivazione di pomacee e frutta a nocciolo;Cultivation of pome and stone fruit;A.01.24.0;A01240;01240
01.24.00;Coltivazione di pomacee e frutta a nocciolo;Cultivation of pome and stone fruit;A.01.24.00;A012400;012400
01.25;Coltivazione di altri alberi da frutta, frutti di bosco e in guscio;Cultivation of other fruit trees, berries and nuts;A.01.25;A0125;0125
01.25.0;Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio;Cultivation of other fruit trees, berries and nuts;A.01.25.0;A01250;01250
01.25.00;Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio;Cultivation of other fruit trees, berries and nuts;A.01.25.00;A012500;012500
01.26;Coltivazione di frutti oleosi;Cultivation of oil fruits;A.01.26;A0126;0126
01.26.0;Coltivazione di frutti oleosi;Cultivation of oil fruits;A.01.26.0;A01260;01260
01.26.00;Coltivazione di frutti oleosi;Cultivation of oil fruits;A.01.26.00;A012600;012600
01.27;Coltivazione di piante per la produzione di bevande;Cultivation of plants for the production of beverages;A.01.27;A0127;0127
01.27.0;Coltivazione di piante per la produzione di bevande;Cultivation of plants for the production of beverages;A.01.27.0;A01270;01270
01.27.00;Coltivazione di piante per la produzione di bevande;Cultivation of plants for the production of beverages;A.01.27.00;A012700;012700
01.28;Coltivazione di spezie, piante aromatiche e farmaceutiche;Cultivation of spices, aromatic and pharmaceutical plants;A.01.28;A0128;0128
01.28.0;Coltivazione di spezie, piante aromatiche e farmaceutiche;Cultivation of spices, aromatic and pharmaceutical plants;A.01.28.0;A01280;01280
01.28.00;Coltivazione di spezie, piante aromatiche e farmaceutiche;Cultivation of spices, aromatic and pharmaceutical plants;A.01.28.00;A012800;012800
01.29;Coltivazione di altre colture permanenti (inclusi alberi di Natale);Growing other permanent crops (including Christmas trees);A.01.29;A0129;0129
01.29.0;Coltivazione di altre colture permanenti (inclusi alberi di Natale);Growing other permanent crops (including Christmas trees);A.01.29.0;A01290;01290
01.29.00;Coltivazione di altre colture permanenti (inclusi alberi di Natale);Growing other permanent crops (including Christmas trees);A.01.29.00;A012900;012900
01.3;RIPRODUZIONE DELLE PIANTE;PLANT REPRODUCTION;A.01.3;A013;013
01.30;Riproduzione delle piante;PLANT REPRODUCTION;A.01.30;A0130;0130
01.30.0;Riproduzione delle piante;PLANT REPRODUCTION;A.01.30.0;A01300;01300
01.30.00;Riproduzione delle piante;PLANT REPRODUCTION;A.01.30.00;A013000;013000
01.4;ALLEVAMENTO DI ANIMALI;ANIMAL FARMING;A.01.4;A014;014
01.41;Allevamento di bovini da latte;Dairy cattle farming;A.01.41;A0141;0141
01.41.0;Allevamento di bovini e bufale da latte, produzione di latte crudo;Dairy cattle and buffalo farming, raw milk production;A.01.41.0;A01410;01410
01.41.00;Allevamento di bovini e bufale da latte, produzione di latte crudo;Dairy cattle and buffalo farming, raw milk production;A.01.41.00;A014100;014100
01.42;Allevamento di altri bovini e di bufalini;Breeding of other cattle and buffalo;A.01.42;A0142;0142
01.42.0;Allevamento di bovini e bufalini da carne;Cattle and buffalo breeding for meat;A.01.42.0;A01420;01420
01.42.00;Allevamento di bovini e bufalini da carne;Cattle and buffalo breeding for meat;A.01.42.00;A014200;014200
01.43;Allevamento di cavalli e altri equini;Breeding of horses and other equines;A.01.43;A0143;0143
01.43.0;Allevamento di cavalli e altri equini;Breeding of horses and other equines;A.01.43.0;A01430;01430
01.43.00;Allevamento di cavalli e altri equini;Breeding of horses and other equines;A.01.43.00;A014300;014300
01.44;Allevamento di cammelli e camelidi;Camel and camelid breeding;A.01.44;A0144;0144
01.44.0;Allevamento di cammelli e camelidi;Camel and camelid breeding;A.01.44.0;A01440;01440
01.44.00;Allevamento di cammelli e camelidi;Camel and camelid breeding;A.01.44.00;A014400;014400
01.45;Allevamento di ovini e caprini;Sheep and goat farming;A.01.45;A0145;0145
01.45.0;Allevamento di ovini e caprini;Sheep and goat farming;A.01.45.0;A01450;01450
01.45.00;Allevamento di ovini e caprini;Sheep and goat farming;A.01.45.00;A014500;014500
01.46;Allevamento di suini;Pig farming;A.01.46;A0146;0146
01.46.0;Allevamento di suini;Pig farming;A.01.46.0;A01460;01460
01.46.00;Allevamento di suini;Pig farming;A.01.46.00;A014600;014600
